"STATION","DATE","TAVG","TMAX","TMIN"
"UKM00003772","2020-05-27","19.8",,"13.7"
"UKM00003772","2020-05-28","16.6",,"11.6"
"UKM00003772","2020-05-29","17.4",,"11.0"
"UKM00003772","2020-05-30","17.7",,"9.9"
"UKM00003772","2020-05-31","18.6",,
"UKM00003772","2020-06-01","19.1",,"11.3"
"UKM00003772","2020-06-02","19.1",,
"UKM00003772","2020-06-03","15.6",,
"UKM00003772","2020-06-04","12.6",,"10.5"
"UKM00003772","2020-06-05","13.0","16.4",
"UKM00003772","2020-06-06","10.4",,
"UKM00003772","2020-06-07","12.6",,
"UKM00003772","2020-06-08","13.4",,"10.4"
"UKM00003772","2020-06-09","15.1",,"10.6"
"UKM00003772","2020-06-10","13.1",,
"UKM00003772","2020-06-11","14.6","21.4","10.9"
"UKM00003772","2020-06-12","16.6",,
"UKM00003772","2020-06-13","18.0",,"12.3"
"UKM00003772","2020-06-14","18.1",,"12.9"
"UKM00003772","2020-06-15","17.2",,
"UKM00003772","2020-06-16","18.1",,"13.5"
"UKM00003772","2020-06-17","17.6",,"12.8"
"UKM00003772","2020-06-18","15.6",,"13.8"
"UKM00003772","2020-06-19","15.8",,"13.4"
"UKM00003772","2020-06-20","16.9",,"11.8"
"UKM00003772","2020-06-21","17.2",,
"UKM00003772","2020-06-22","17.3",,
"UKM00003772","2020-06-23","21.1",,"11.8"
"UKM00003772","2020-06-24","24.4",,"16.7"
"UKM00003772","2020-06-25","25.7",,"18.3"
"UKM00003772","2020-06-26","23.3",,
"UKM00003772","2020-06-27","17.2","21.4",
"UKM00003772","2020-06-28","16.1","22.0",
"UKM00003772","2020-06-29","15.4","21.7",
"UKM00003772","2020-06-30","16.2",,"12.8"
"UKM00003772","2020-07-01","17.2",,
"UKM00003772","2020-07-02","16.2",,"11.9"
"UKM00003772","2020-07-03","16.4","22.5",
"UKM00003772","2020-07-04","17.9","21.4","14.5"
"UKM00003772","2020-07-05","17.9","23.0",
"UKM00003772","2020-07-06","15.8",,
"UKM00003772","2020-07-07","15.6",,
"UKM00003772","2020-07-08","16.7",,"13.2"
"UKM00003772","2020-07-09","17.4",,
"UKM00003772","2020-07-10","15.4",,
"UKM00003772","2020-07-11","15.5",,
"UKM00003772","2020-07-12","17.9",,
"UKM00003772","2020-07-13","18.9","26.2",
"UKM00003772","2020-07-14","17.8",,
"UKM00003772","2020-07-15","16.3",,
"UKM00003772","2020-07-16","19.3",,"16.0"
"UKM00003772","2020-07-17","21.7",,
"UKM00003772","2020-07-18","19.5",,
"UKM00003772","2020-07-19","17.3",,
"UKM00003772","2020-07-20","16.8",,"10.5"
"UKM00003772","2020-07-21","17.1",,
"UKM00003772","2020-07-22","19.7",,
"UKM00003772","2020-07-23","19.4",,"13.3"
"UKM00003772","2020-07-24","20.0",,
"UKM00003772","2020-07-25","18.2",,
"UKM00003772","2020-07-26","17.0",,"12.5"
"UKM00003772","2020-07-27","17.4",,
"UKM00003772","2020-07-28","16.4",,
"UKM00003772","2020-07-29","17.2",,
"UKM00003772","2020-07-30","21.7",,"12.9"
"UKM00003772","2020-07-31","25.8",,"16.5"
"UKM00003772","2020-08-01","20.8",,
"UKM00003772","2020-08-02","18.2",,
"UKM00003772","2020-08-03","18.2",,"13.8"
"UKM00003772","2020-08-04","17.6",,"11.0"
"UKM00003772","2020-08-05","20.3",,"15.6"
"UKM00003772","2020-08-06","23.1",,
"UKM00003772","2020-08-07","25.8",,
"UKM00003772","2020-08-08","25.3",,
"UKM00003772","2020-08-09","24.3",,
"UKM00003772","2020-08-10","26.6",,"18.7"
"UKM00003772","2020-08-11","28.2",,
"UKM00003772","2020-08-12","26.9",,"21.7"
"UKM00003772","2020-08-13","22.5",,
"UKM00003772","2020-08-14","18.4",,
"UKM00003772","2020-08-15","18.2",,"16.6"
"UKM00003772","2020-08-16","20.4",,
"UKM00003772","2020-08-17","18.5",,"15.0"
"UKM00003772","2020-08-18","19.7",,
"UKM00003772","2020-08-19","18.3",,"14.8"
"UKM00003772","2020-08-20","20.4",,"16.0"
"UKM00003772","2020-08-21","20.1","23.9",
"UKM00003772","2020-08-22","18.8","24.4",
"UKM00003772","2020-08-23","17.7","23.6",
"UKM00003772","2020-08-24","17.0",,
"UKM00003772","2020-08-25","17.8","22.4","15.6"
"UKM00003772","2020-08-26","17.8",,
"UKM00003772","2020-08-27","15.2",,"12.9"
"UKM00003772","2020-08-28","14.6",,
"UKM00003772","2020-08-29","13.1",,"11.2"
"UKM00003772","2020-08-30","13.9",,"11.6"
"UKM00003772","2020-08-31","13.2",,
"UKM00003772","2020-09-01","14.0",,"6.6"
"UKM00003772","2020-09-02","14.6",,
"UKM00003772","2020-09-03","18.3",,
"UKM00003772","2020-09-04","15.8",,
"UKM00003772","2020-09-05","14.1",,
"UKM00003772","2020-09-06","14.8",,
"UKM00003772","2020-09-07","15.7",,"9.9"
"UKM00003772","2020-09-08","19.5",,
"UKM00003772","2020-09-09","17.5",,
"UKM00003772","2020-09-10","14.8","20.3",
"UKM00003772","2020-09-11","14.4",,"8.7"
"UKM00003772","2020-09-12","16.9",,"12.3"
"UKM00003772","2020-09-13","18.3",,"12.8"
"UKM00003772","2020-09-14","19.9",,"11.3"
"UKM00003772","2020-09-15","21.9",,
"UKM00003772","2020-09-16","21.1",,
"UKM00003772","2020-09-17","16.6",,"12.8"
"UKM00003772","2020-09-18","15.9",,"9.7"
"UKM00003772","2020-09-19","18.3",,"12.6"
"UKM00003772","2020-09-20","18.6",,"13.7"
"UKM00003772","2020-09-21","17.8",,"13.8"
"UKM00003772","2020-09-22","18.0",,"12.2"
"UKM00003772","2020-09-23","15.5",,
"UKM00003772","2020-09-24","10.7",,
"UKM00003772","2020-09-25","10.8","15.0","6.4"
"UKM00003772","2020-09-26","10.4","13.6","6.6"
"UKM00003772","2020-09-27","12.3",,"10.6"
"UKM00003772","2020-09-28","13.2",,
"UKM00003772","2020-09-29","15.8",,
"UKM00003772","2020-09-30","13.9",,
"UKM00003772","2020-10-01","12.2",,
"UKM00003772","2020-10-02","12.2",,"9.8"
"UKM00003772","2020-10-03","13.5",,
"UKM00003772","2020-10-04","9.8",,"8.8"
"UKM00003772","2020-10-05","12.8",,
"UKM00003772","2020-10-06","13.1",,"10.8"
"UKM00003772","2020-10-07","12.4",,"8.2"
"UKM00003772","2020-10-08","14.7",,
"UKM00003772","2020-10-09","9.6",,
"UKM00003772","2020-10-10","9.4",,"4.8"
"UKM00003772","2020-10-11","10.7",,
"UKM00003772","2020-10-12","9.7",,"6.2"
"UKM00003772","2020-10-13","9.3",,
"UKM00003772","2020-10-14","10.6",,
"UKM00003772","2020-10-15","9.6",,"7.7"
"UKM00003772","2020-10-16","10.0",,
"UKM00003772","2020-10-17","10.4",,
"UKM00003772","2020-10-18","9.7",,
"UKM00003772","2020-10-19","11.7",,"7.5"
"UKM00003772","2020-10-20","14.9",,"12.0"
"UKM00003772","2020-10-21","14.4",,
"UKM00003772","2020-10-22","13.1",,
"UKM00003772","2020-10-23","12.2",,
"UKM00003772","2020-10-24","12.3","16.2","7.9"
"UKM00003772","2020-10-25","9.6",,"7.3"
"UKM00003772","2020-10-26","9.4",,"6.4"
"UKM00003772","2020-10-27","9.7",,"4.9"
"UKM00003772","2020-10-28","9.8",,"7.9"
"UKM00003772","2020-10-29","11.9",,"7.5"
"UKM00003772","2020-10-30","15.1",,
"UKM00003772","2020-10-31","13.1",,
"UKM00003772","2020-11-01","14.5","17.2","10.2"
"UKM00003772","2020-11-02","13.9","17.1",
"UKM00003772","2020-11-03","7.9",,
"UKM00003772","2020-11-04","5.9",,"1.0"
"UKM00003772","2020-11-05","4.8",,
"UKM00003772","2020-11-06","6.3",,
"UKM00003772","2020-11-07","9.3",,
"UKM00003772","2020-11-08","11.9",,"8.6"
"UKM00003772","2020-11-09","12.9",,"9.9"
"UKM00003772","2020-11-10","12.0",,
"UKM00003772","2020-11-11","11.3",,"6.1"
"UKM00003772","2020-11-12","10.7",,
"UKM00003772","2020-11-13","10.7",,
"UKM00003772","2020-11-14","12.4",,"8.4"
"UKM00003772","2020-11-15","10.8",,
"UKM00003772","2020-11-16","10.8",,"7.3"
"UKM00003772","2020-11-17","12.8",,"10.7"
"UKM00003772","2020-11-18","11.9","15.9",
"UKM00003772","2020-11-19","7.8",,
"UKM00003772","2020-11-20","6.2",,"0.8"
"UKM00003772","2020-11-21","11.1",,"9.5"
"UKM00003772","2020-11-22","9.2",,
"UKM00003772","2020-11-23","6.3",,"2.0"
"UKM00003772","2020-11-24","10.3",,"7.9"
"UKM00003772","2020-11-25","9.8",,
"UKM00003772","2020-11-26","6.1",,
"UKM00003772","2020-11-27","3.0",,
"UKM00003772","2020-11-28","8.7",,"5.1"
"UKM00003772","2020-11-29","7.8",,
"UKM00003772","2020-11-30","7.0",,
"UKM00003772","2020-12-01","5.1",,
"UKM00003772","2020-12-02","4.8",,"2.1"
"UKM00003772","2020-12-03","4.8",,"3.0"
"UKM00003772","2020-12-04","4.1",,
"UKM00003772","2020-12-05","5.0",,
"UKM00003772","2020-12-06","2.6",,
"UKM00003772","2020-12-07","1.1",,"-0.3"
"UKM00003772","2020-12-08","1.7",,
"UKM00003772","2020-12-09","5.3",,"2.3"
"UKM00003772","2020-12-10","6.9",,"4.4"
"UKM00003772","2020-12-11","8.8",,"6.8"
"UKM00003772","2020-12-12","7.3",,
"UKM00003772","2020-12-13","6.9",,"0.4"
"UKM00003772","2020-12-14","10.4",,
"UKM00003772","2020-12-15","8.6",,"5.5"
"UKM00003772","2020-12-16","8.7",,"6.6"
"UKM00003772","2020-12-17","8.8",,
"UKM00003772","2020-12-18","11.2",,"8.9"
"UKM00003772","2020-12-19","10.1",,
"UKM00003772","2020-12-20","7.6",,
"UKM00003772","2020-12-21","10.9",,"5.1"
"UKM00003772","2020-12-22","11.4",,
"UKM00003772","2020-12-23","10.7",,
"UKM00003772","2020-12-24","4.8",,
"UKM00003772","2020-12-25","1.8",,
"UKM00003772","2020-12-26","6.4",,"-0.2"
"UKM00003772","2020-12-27","6.0",,
